"OD","LOC","SHK","OAL","2 Flute - Uncoated","4 Flute - Uncoated","2 Flute- Power A","4-Flute power A"
"1/32","1/16","1/8","1-1/2","202-102","202-302","202-102-1","202-302-1"
"1/32","3/32","1/8","2","201-102","201-302","201-102-1","201-302-1"
"3/64","3/32","1/8","1-1/2","202-104","202-304","202-104-1","202-304-1"
"3/64","1/8","1/8","2","201-104","201-304","201-104-1","201-304-1"
"1/16","1/8","1/8","1-1/2","202-106","202-306","202-106-1","202-306-1"
"1/16","3/16","1/8","2","201-106","201-306","201-106-1","201-306-1"
"5/64","3/16","1/8","1-1/2","202-108","202-308","202-108-1","202-308-1"
"3/32","3/16","1/8","1-1/2","202-110","202-310","202-110-1","202-310-1"
"3/32","1/4","1/8","2","201-108","201-308","201-108-1","201-308-1"
"7/64","1/4","1/8","1-1/2","202-112","202-312","202-112-1","202-312-1"
"1/8","1/4","1/8","1-1/2","202-114","202-314","202-114-1","202-314-1"
"1/8","3/8","1/8","2","201-110","201-310","201-110-1","201-310-1"
"5/32","5/16","3/16","2","202-116","202-316","202-116-1","202-316-1"
"5/32","7/16","3/16","2-1/2","201-112","201-312","201-112-1","201-312-1"
"3/16","3/8","3/16","2","202-118","202-318","202-118-1","202-318-1"
"3/16","1/2","3/16","2-1/2","201-114","201-314","201-114-1","201-314-1"
"7/32","1/2","1/4","2-1/2","202-120","202-320","202-120-1","202-320-1"
"7/32","9/16","1/4","2-1/2","201-116","201-316","201-116-1","201-316-1"
"1/4","1/2","1/4","2-1/2","202-122","202-322","202-122-1","202-322-1"
"1/4","5/8","1/4","2-1/2","201-118","201-318","201-118-1","201-318-1"
"5/16","1/2","5/16","2-1/2","202-124","202-324","202-124-1","202-324-1"
"5/16","3/4","5/16","3-1/2","201-120","201-320","201-120-1","201-320-1"
"3/8","1/2","3/8","2-1/2","202-126","202-326","202-126-1","202-326-1"
"3/8","3/4","3/8","3-1/2","201-122","201-322","201-122-1","201-322-1"
"7/16","1/2","7/16","2-1/2","202-128","202-328","202-128-1","202-328-1"
"7/16","7/8","7/16","4","201-124","201-324","201-124-1","201-324-1"
"1/2","5/8","1/2","3","202-130","202-330","202-130-1","202-330-1"
"1/2","1","1/2","4","201-126","201-326","201-126-1","201-326-1"
"9/16","1-1/4","9/16","6","201-128","201-328","201-128-1","201-328-1"
"5/8","3/4","5/8","4","202-132","202-332","202-132-1","202-332-1"
"5/8","1-1/4","5/8","6","201-130","201-330","201-130-1","201-330-1"
"3/4","1","3/4","4","202-134","202-334","202-134-1","202-334-1"
"3/4","1-1/2","3/4","6","201-132","201-332","201-132-1","201-332-1"
"7/8","1-1/2","7/8","6","201-134","201-334","201-134-1","201-334-1"
"1","1-1/2","1","6","201-136","201-336","201-136-1","201-336-1"