"OD","LOC","SHK","OAL","Radius","Flutes","PowerA"
"6","18","6","58","0.5","6","534-002-1"
"6","18","6","58","1","6","534-004-1"
"6","32","6","75","0.5","6","534-202-1"
"6","32","6","75","1","6","534-204-1"
"8","24","8","63","0.5","6","534-006-1"
"8","24","8","63","1","6","534-008-1"
"8","32","8","75","0.5","6","534-206-1"
"8","32","8","75","1","6","534-208-1"
"10","30","10","75","0.5","6","534-010-1"
"10","30","10","75","1","6","534-012-1"
"10","50","10","100","0.5","6","534-210-1"
"10","50","10","100","1","6","534-212-1"
"12","36","12","84","0.5","6","534-014-1"
"12","36","12","84","1","6","534-016-1"
"12","50","12","100","0.5","6","534-214-1"
"12","50","12","100","1","6","534-216-1"
"14","42","14","84","0.5","6","534-018-1"
"14","42","14","84","1","6","534-020-1"
"14","50","14","100","0.5","6","534-218-1"
"14","50","14","100","1","6","534-220-1"
"16","48","16","93","0.5","8","534-022-1"
"16","48","16","93","1","8","534-024-1"
"16","62","16","125","0.5","8","534-222-1"
"16","62","16","125","1","8","534-224-1"
"18","54","18","100","0.5","8","534-026-1"
"18","54","18","100","1","8","534-028-1"
"18","62","18","125","0.5","8","534-226-1"
"18","62","18","125","1","8","534-228-1"
"20","60","20","105","0.5","8","534-030-1"
"20","60","20","105","1","8","534-032-1"
"20","65","20","130","0.5","8","534-230-1"
"20","65","20","130","1","8","534-232-1"