"OD","LOC","SHK","OAL","Uncoated","PowerA"
"3","12","3","38","312-210","312-210-1"
"4","14","4","50","312-214","312-214-1"
"5","16","5","50","312-218","312-218-1"
"6","19","6","63","312-220","312-220-1"
"7","19","8","63","312-222","312-222-1"
"8","21","8","63","312-224","312-224-1"
"9","22","10","70","312-226","312-226-1"
"10","25","10","70","312-228","312-228-1"
"11","25","11","70","312-230","312-230-1"
"12","25","12","75","312-232","312-232-1"
"14","30","14","88","312-234","312-234-1"
"16","32","16","88","312-236","312-236-1"
"18","35","18","100","312-238","312-238-1"
"20","38","20","100","312-240","312-240-1"
"22","38","22","100","312-242","312-242-1"
"25","38","25","100","312-244","312-244-1"