"OD","LOC","SHK","OAL","Radius","2 Flute","4 Flute","2 Flute - PowerA","4 Flute - PowerA"
"2","6","3","38","0.50","309-401","311-401","309-401-1","311-401-1"
"3","12","3","38","0.50","309-411","311-411","309-411-1","311-411-1"
"4","14","4","50","0.25","309-420","311-420","309-420-1","311-420-1"
"4","14","4","50","0.50","309-421","311-421","309-421-1","311-421-1"
"4","14","4","50","0.75","309-422","311-422","309-422-1","311-422-1"
"4","14","4","50","1.00","309-423","311-423","309-423-1","311-423-1"
"5","16","5","50","0.50","309-431","311-431","309-431-1","311-431-1"
"6","19","6","63","0.25","309-440","311-440","309-440-1","311-440-1"
"6","19","6","63","0.50","309-441","311-441","309-441-1","311-441-1"
"6","19","6","63","0.75","309-442","311-442","309-442-1","311-442-1"
"6","19","6","63","1.00","309-443","311-443","309-443-1","311-443-1"
"6","19","6","63","1.25","309-444","311-444","309-444-1","311-444-1"
"6","19","6","63","1.50","309-445","311-445","309-445-1","311-445-1"
"8","19","8","63","0.25","309-450","311-450","309-450-1","311-450-1"
"8","19","8","63","0.50","309-451","311-451","309-451-1","311-451-1"
"8","19","8","63","0.75","309-452","311-452","309-452-1","311-452-1"
"8","19","8","63","1.00","309-453","311-453","309-453-1","311-453-1"
"8","19","8","63","1.25","309-454","311-454","309-454-1","311-454-1"
"8","19","8","63","1.50","309-455","311-455","309-455-1","311-455-1"
"8","19","8","63","2.00","309-456","311-456","309-456-1","311-456-1"
"10","25","10","70","0.25","309-460","311-460","309-460-1","311-460-1"
"10","25","10","70","0.50","309-461","311-461","309-461-1","311-461-1"
"10","25","10","70","0.75","309-462","311-462","309-462-1","311-462-1"
"10","25","10","70","1.00","309-463","311-463","309-463-1","311-463-1"
"10","25","10","70","1.25","309-464","311-464","309-464-1","311-464-1"
"10","25","10","70","1.50","309-465","311-465","309-465-1","311-465-1"
"10","25","10","70","2.00","309-466","311-466","309-466-1","311-466-1"
"10","25","10","70","3.00","309-467","311-467","309-467-1","311-467-1"
"12","25","12","75","0.25","309-470","311-470","309-470-1","311-470-1"
"12","25","12","75","0.50","309-471","311-471","309-471-1","311-471-1"
"12","25","12","75","0.75","309-472","311-472","309-472-1","311-472-1"
"12","25","12","75","1.00","309-473","311-473","309-473-1","311-473-1"
"12","25","12","75","1.25","309-474","311-474","309-474-1","311-474-1"
"12","25","12","75","1.50","309-475","311-475","309-475-1","311-475-1"
"12","25","12","75","2.00","309-476","311-476","309-476-1","311-476-1"
"12","25","12","75","3.00","309-477","311-477","309-477-1","311-477-1"
"16","32","16","88","0.25","309-480","311-480","309-480-1","311-480-1"
"16","32","16","88","0.50","309-481","311-481","309-481-1","311-481-1"
"16","32","16","88","0.75","309-482","311-482","309-482-1","311-482-1"
"16","32","16","88","1.00","309-483","311-483","309-483-1","311-483-1"
"16","32","16","88","1.25","309-484","311-484","309-484-1","311-484-1"
"16","32","16","88","1.50","309-485","311-485","309-485-1","311-485-1"
"16","32","16","88","2.00","309-486","311-486","309-486-1","311-486-1"
"16","32","16","88","3.00","309-487","311-487","309-487-1","311-487-1"
"20","38","20","100","0.25","309-490","311-490","309-490-1","311-490-1"
"20","38","20","100","0.50","309-491","311-491","309-491-1","311-491-1"
"20","38","20","100","0.75","309-492","311-492","309-492-1","311-492-1"
"20","38","20","100","1.00","309-493","311-493","309-493-1","311-493-1"
"20","38","20","100","1.25","309-494","311-494","309-494-1","311-494-1"
"20","38","20","100","1.50","309-495","311-495","309-495-1","311-495-1"
"20","38","20","100","2.00","309-496","311-496","309-496-1","311-496-1"
"20","38","20","100","3.00","309-497","311-497","309-497-1","311-497-1"