"OD","LOC","SHK","OAL","Corner Radius","PowerA NoFlat","PowerA With Flat"
"1/8","1/4","1/8","1-1/2",".020","402-402-1",""
"1/8","1/4","1/8","1-1/2",".030","402-403-1",""
"1/8","1/4","1/8","1-1/2",".045","402-404-1",""
"1/8","3/8","1/8","1-1/2",".015","400-401-1",""
"1/8","3/8","1/8","1-1/2",".020","400-402-1",""
"1/8","3/8","1/8","1-1/2",".030","400-403-1",""
"1/8","3/8","1/8","1-1/2",".045","400-404-1",""
"5/32","5/16","3/16","2",".015","402-411-1",""
"5/32","5/16","3/16","2",".020","402-412-1",""
"5/32","5/16","3/16","2",".030","402-413-1",""
"5/32","5/16","3/16","2",".045","402-414-1",""
"3/16","3/8","3/16","2",".015","402-421-1",""
"3/16","3/8","3/16","2",".020","402-422-1",""
"3/16","3/8","3/16","2",".030","402-423-1",""
"3/16","3/8","3/16","2",".045","402-424-1",""
"3/16","7/16","3/16","2",".015","400-411-1",""
"3/16","7/16","3/16","2",".020","400-412-1",""
"3/16","7/16","3/16","2",".030","400-413-1",""
"3/16","7/16","3/16","2",".045","400-414-1",""
"3/16","3/4","3/16","2-1/2",".015","400-531-1",""
"3/16","3/4","3/16","2-1/2",".020","400-532-1",""
"3/16","3/4","3/16","2-1/2",".030","400-533-1",""
"3/16","3/4","3/16","2-1/2",".045","400-534-1",""
"7/32","7/16","1/4","2",".015","402-431-1",""
"7/32","7/16","1/4","2",".020","402-432-1",""
"7/32","7/16","1/4","2",".030","402-433-1",""
"7/32","7/16","1/4","2",".045","402-434-1",""
"7/32","7/16","1/4","2",".060","402-435-1",""
"1/4","3/8","1/4","2","0.01","402-520-1","402-520W-1"
"1/4","3/8","1/4","2","0.015","402-521-1","402-521W-1"
"1/4","3/8","1/4","2","0.02","402-522-1","402-522W-1"
"1/4","3/8","1/4","2","0.03","402-523-1","402-523W-1"
"1/4","3/8","1/4","2","0.04","402-524-1","402-524W-1"
"1/4","3/8","1/4","2","0.05","402-525-1","402-525W-1"
"1/4","1/2","1/4","2",".010","402-440-1","402-440W-1"
"1/4","1/2","1/4","2",".015","402-441-1","402-441W-1"
"1/4","1/2","1/4","2",".020","402-442-1","402-442W-1"
"1/4","1/2","1/4","2",".030","402-443-1","402-443W-1"
"1/4","1/2","1/4","2",".045","402-444-1","402-444W-1"
"1/4","1/2","1/4","2",".060","402-445-1","402-445W-1"
"1/4","5/8","1/4","2-1/2",".015","400-421-1","400-421W-1"
"1/4","5/8","1/4","2-1/2",".020","400-422-1","400-422W-1"
"1/4","5/8","1/4","2-1/2",".030","400-423-1","400-423W-1"
"1/4","5/8","1/4","2-1/2",".045","400-424-1","400-424W-1"
"1/4","5/8","1/4","2-1/2",".060","400-425-1","400-425W-1"
"1/4","3/4","1/4","2-1/2",".015","400-541-1","400-541W-1"
"1/4","3/4","1/4","2-1/2",".020","400-542-1","400-542W-1"
"1/4","3/4","1/4","2-1/2",".030","400-543-1","400-543W-1"
"1/4","3/4","1/4","2-1/2",".045","400-544-1","400-544W-1"
"1/4","3/4","1/4","2-1/2",".060","400-545-1","400-545W-1"
"1/4","1-1/8","1/4","3",".015","401-401-1","401-401W-1"
"1/4","1-1/8","1/4","3",".020","401-402-1","401-402W-1"
"1/4","1-1/8","1/4","3",".030","401-403-1","401-403W-1"
"1/4","1-1/8","1/4","3",".045","401-404-1","401-404W-1"
"1/4","1-1/8","1/4","3",".060","401-405-1","401-405W-1"
"5/16","1/2","5/16","2",".015","402-451-1","402-451W-1"
"5/16","1/2","5/16","2",".020","402-452-1","402-452W-1"
"5/16","1/2","5/16","2",".030","402-453-1","402-453W-1"
"5/16","1/2","5/16","2",".045","402-454-1","402-454W-1"
"5/16","1/2","5/16","2",".060","402-455-1","402-455W-1"
"5/16","13/16","5/16","2-1/2",".015","400-431-1","400-431W-1"
"5/16","13/16","5/16","2-1/2",".020","400-432-1","400-432W-1"
"5/16","13/16","5/16","2-1/2",".030","400-433-1","400-433W-1"
"5/16","13/16","5/16","2-1/2",".045","400-434-1","400-434W-1"
"5/16","13/16","5/16","2-1/2",".060","400-435-1","400-435W-1"
"5/16","1-1/8","5/16","3",".020","401-412-1","401-412W-1"
"3/8","5/8","3/8","2",".015","402-461-1","402-461W-1"
"3/8","5/8","3/8","2",".020","402-462-1","402-462W-1"
"3/8","5/8","3/8","2",".030","402-463-1","402-463W-1"
"3/8","5/8","3/8","2",".045","402-464-1","402-464W-1"
"3/8","5/8","3/8","2",".060","402-465-1","402-465W-1"
"3/8","7/8","3/8","2-1/2",".015","400-441-1","400-441W-1"
"3/8","7/8","3/8","2-1/2",".020","400-442-1","400-442W-1"
"3/8","7/8","3/8","2-1/2",".030","400-443-1","400-443W-1"
"3/8","7/8","3/8","2-1/2",".045","400-444-1","400-444W-1"
"3/8","7/8","3/8","2-1/2",".060","400-445-1","400-445W-1"
"3/8","1-1/8","3/8","3",".015","401-421-1","401-421W-1"
"3/8","1-1/8","3/8","3",".020","401-422-1","401-422W-1"
"3/8","1-1/8","3/8","3",".030","401-423-1","401-423W-1"
"3/8","1-1/8","3/8","3",".045","401-424-1","401-424W-1"
"3/8","1-1/8","3/8","3",".060","401-425-1","401-425W-1"
"7/16","5/8","7/16","2-1/2",".015","402-471-1","402-471W-1"
"7/16","5/8","7/16","2-1/2",".020","402-472-1","402-472W-1"
"7/16","5/8","7/16","2-1/2",".030","402-473-1","402-473W-1"
"7/16","5/8","7/16","2-1/2",".045","402-474-1","402-474W-1"
"7/16","5/8","7/16","2-1/2",".060","402-475-1","402-475W-1"
"7/16","5/8","7/16","2-1/2",".090","402-476-1","402-476W-1"
"7/16","1","7/16","2-3/4",".015","400-451-1","400-451W-1"
"7/16","1","7/16","2-3/4",".020","400-452-1","400-452W-1"
"7/16","1","7/16","2-3/4",".030","400-453-1","400-453W-1"
"7/16","1","7/16","2-3/4",".045","400-454-1","400-454W-1"
"7/16","1","7/16","2-3/4",".060","400-456-1","400-456W-1"
"1/2","5/8","1/2","2-1/2",".015","402-481-1","402-481W-1"
"1/2","5/8","1/2","2-1/2",".020","402-482-1","402-482W-1"
"1/2","5/8","1/2","2-1/2",".030","402-483-1","402-483W-1"
"1/2","5/8","1/2","2-1/2",".045","402-484-1","402-484W-1"
"1/2","5/8","1/2","2-1/2",".060","402-485-1","402-485W-1"
"1/2","5/8","1/2","2-1/2",".090","402-486-1","402-486W-1"
"1/2","1","1/2","3",".015","400-461-1","400-461W-1"
"1/2","1","1/2","3",".020","400-462-1","400-462W-1"
"1/2","1","1/2","3",".030","400-463-1","400-463W-1"
"1/2","1","1/2","3",".045","400-464-1","400-464W-1"
"1/2","1","1/2","3",".060","400-465-1","400-465W-1"
"1/2","1","1/2","3",".090","400-466-1","400-466W-1"
"1/2","1","1/2","3",".125","400-467-1","400-467W-1"
"1/2","1-1/4","1/2","3",".015","400-471-1","400-471W-1"
"1/2","1-1/4","1/2","3",".020","400-472-1","400-472W-1"
"1/2","1-1/4","1/2","3",".030","400-473-1","400-473W-1"
"1/2","1-1/4","1/2","3",".045","400-474-1","400-474W-1"
"1/2","1-1/4","1/2","3",".060","400-475-1","400-475W-1"
"1/2","1-1/4","1/2","3",".090","400-476-1","400-476W-1"
"1/2","1-1/4","1/2","3",".125","400-477-1","400-477W-1"
"1/2","2","1/2","4",".015","401-431-1","401-431W-1"
"1/2","2","1/2","4",".020","401-432-1","401-432W-1"
"1/2","2","1/2","4",".030","401-433-1","401-433W-1"
"1/2","2","1/2","4",".045","401-434-1","401-434W-1"
"1/2","2","1/2","4",".060","401-435-1","401-435W-1"
"1/2","2","1/2","4",".090","401-436-1","401-436W-1"
"1/2","2","1/2","4",".125","401-437-1","401-437W-1"
"9/16","1-1/8","9/16","3-1/2",".015","400-481-1","400-481W-1"
"9/16","1-1/8","9/16","3-1/2",".020","400-482-1","400-482W-1"
"9/16","1-1/8","9/16","3-1/2",".030","400-483-1","400-483W-1"
"9/16","1-1/8","9/16","3-1/2",".045","400-484-1","400-484W-1"
"9/16","1-1/8","9/16","3-1/2",".060","400-485-1","400-485W-1"
"5/8","3/4","5/8","3",".015","402-491-1","402-491W-1"
"5/8","3/4","5/8","3",".020","402-492-1","402-492W-1"
"5/8","3/4","5/8","3",".030","402-493-1","402-493W-1"
"5/8","3/4","5/8","3",".045","402-494-1","402-494W-1"
"5/8","3/4","5/8","3",".060","402-495-1","402-495W-1"
"5/8","3/4","5/8","3",".090","402-496-1","402-496W-1"
"5/8","1-1/4","5/8","3-1/2",".015","400-491-1","400-491W-1"
"5/8","1-1/4","5/8","3-1/2",".020","400-492-1","400-492W-1"
"5/8","1-1/4","5/8","3-1/2",".030","400-493-1","400-493W-1"
"5/8","1-1/4","5/8","3-1/2",".045","400-494-1","400-494W-1"
"5/8","1-1/4","5/8","3-1/2",".060","400-495-1","400-495W-1"
"5/8","2-1/4","5/8","5",".015","401-441-1","401-441W-1"
"5/8","2-1/4","5/8","5",".020","401-442-1","401-442W-1"
"5/8","2-1/4","5/8","5",".030","401-443-1","401-443W-1"
"5/8","2-1/4","5/8","5",".045","401-444-1","401-444W-1"
"5/8","2-1/4","5/8","5",".060","401-445-1","401-445W-1"
"5/8","2-1/4","5/8","5",".090","401-446-1","401-446W-1"
"3/4","1","3/4","3",".015","402-501-1","402-501W-1"
"3/4","1","3/4","3",".020","402-502-1","402-502W-1"
"3/4","1","3/4","3",".030","402-503-1","402-503W-1"
"3/4","1","3/4","3",".045","402-504-1","402-504W-1"
"3/4","1","3/4","3",".060","402-505-1","402-505W-1"
"3/4","1","3/4","3",".090","402-506-1","402-506W-1"
"3/4","7/8","3/4","3-1/2",".015","402-511-1","402-511W-1"
"3/4","7/8","3/4","3-1/2",".020","402-512-1","402-512W-1"
"3/4","7/8","3/4","3-1/2",".030","402-513-1","402-513W-1"
"3/4","7/8","3/4","3-1/2",".045","402-514-1","402-514W-1"
"3/4","7/8","3/4","3-1/2",".060","402-515-1","402-515W-1"
"3/4","7/8","3/4","3-1/2",".090","402-516-1","402-516W-1"
"3/4","1-1/2","3/4","4",".015","400-501-1","400-501W-1"
"3/4","1-1/2","3/4","4",".020","400-502-1","400-502W-1"
"3/4","1-1/2","3/4","4",".030","400-503-1","400-503W-1"
"3/4","1-1/2","3/4","4",".045","400-504-1","400-504W-1"
"3/4","1-1/2","3/4","4",".060","400-505-1","400-505W-1"
"3/4","1-1/2","3/4","4",".090","400-506-1","400-506W-1"
"3/4","1-1/2","3/4","4",".125","400-507-1","400-507W-1"
"3/4","1-5/8","3/4","4",".015","400-511-1","400-511W-1"
"3/4","1-5/8","3/4","4",".020","400-512-1","400-512W-1"
"3/4","1-5/8","3/4","4",".030","400-513-1","400-513W-1"
"3/4","1-5/8","3/4","4",".045","400-514-1","400-514W-1"
"3/4","1-5/8","3/4","4",".060","400-515-1","400-515W-1"
"3/4","1-5/8","3/4","4",".090","400-516-1","400-516W-1"
"3/4","2-1/4","3/4","5",".015","401-451-1","401-451W-1"
"3/4","2-1/4","3/4","5",".020","401-452-1","401-452W-1"
"3/4","2-1/4","3/4","5",".030","401-453-1","401-453W-1"
"3/4","2-1/4","3/4","5",".060","401-455-1","401-455W-1"
"3/4","2-1/4","3/4","5",".090","401-456-1","401-456W-1"
"3/4","2-1/4","3/4","5",".125","401-457-1","401-457W-1"
"3/4","3","3/4","6",".015","401-461-1","401-461W-1"
"3/4","3","3/4","6",".020","401-462-1","401-462W-1"
"3/4","3","3/4","6",".030","401-463-1","401-463W-1"
"3/4","3","3/4","6",".045","401-464-1","401-464W-1"
"3/4","3","3/4","6",".060","401-465-1","401-465W-1"
"3/4","3","3/4","6",".090","401-466-1","401-466W-1"
"3/4","4","3/4","6",".015","401-471-1","401-471W-1"
"3/4","4","3/4","6",".020","401-472-1","401-472W-1"
"3/4","4","3/4","6",".030","401-473-1","401-473W-1"
"3/4","4","3/4","6",".045","401-474-1","401-474W-1"
"3/4","4","3/4","6",".060","401-475-1","401-475W-1"
"3/4","4","3/4","6",".090","401-476-1","401-476W-1"
"1","1-1/2","1","4",".020","400-522-1","400-522W-1"
"1","1-1/2","1","4",".030","400-523-1","400-523W-1"
"1","1-1/2","1","4",".045","400-524-1","400-524W-1"
"1","1-1/2","1","4",".060","400-525-1","400-525W-1"
"1","1-1/2","1","4",".090","400-526-1","400-526W-1"
"1","2-1/4","1","5",".015","401-481-1","401-481W-1"
"1","2-1/4","1","5",".020","401-482-1","401-482W-1"
"1","2-1/4","1","5",".030","401-483-1","401-483W-1"
"1","2-1/4","1","5",".045","401-484-1","401-484W-1"
"1","2-1/4","1","5",".060","401-485-1","401-485W-1"
"1","2-1/4","1","5",".090","401-486-1","401-486W-1"
"1","3","1","6",".015","401-491-1","401-491W-1"
"1","3","1","6",".020","401-492-1","401-492W-1"
"1","3","1","6",".030","401-493-1","401-493W-1"
"1","3","1","6",".045","401-494-1","401-494W-1"
"1","3","1","6",".060","401-495-1","401-495W-1"
"1","3","1","6",".090","401-496-1","401-496W-1"
"1","4","1","7",".015","401-501-1","401-501W-1"
"1","4","1","7",".020","401-502-1","401-502W-1"
"1","4","1","7",".030","401-503-1","401-503W-1"
"1","4","1","7",".045","401-504-1","401-504W-1"
"1","4","1","7",".060","401-505-1","401-505W-1"