"OD","LOC","SHK","OAL","Radius","PowerA No Flat","Power A With Flat"
"5/16","1/2","5/16","2",".015","410-451-1","410-451W-1"
"5/16","1/2","5/16","2",".020","410-452-1","410-452W-1"
"5/16","1/2","5/16","2",".030","410-453-1","410-453W-1"
"5/16","1/2","5/16","2",".045","410-454-1","410-454W-1"
"5/16","1/2","5/16","2",".060","410-455-1","410-455W-1"
"5/16","13/16","5/16","2-1/2",".015","408-431-1","408-431W-1"
"5/16","13/16","5/16","2-1/2",".020","408-432-1","408-432W-1"
"5/16","13/16","5/16","2-1/2",".030","408-433-1","408-433W-1"
"5/16","13/16","5/16","2-1/2",".045","408-434-1","408-434W-1"
"5/16","13/16","5/16","2-1/2",".060","408-435-1","408-435W-1"
"3/8","5/8","3/8","2",".015","410-461-1","410-461W-1"
"3/8","5/8","3/8","2",".020","410-462-1","410-462W-1"
"3/8","5/8","3/8","2",".030","410-463-1","410-463W-1"
"3/8","5/8","3/8","2",".045","410-464-1","410-464W-1"
"3/8","5/8","3/8","2",".060","410-465-1","410-465W-1"
"3/8","7/8","3/8","2-1/2",".015","408-441-1","408-441W-1"
"3/8","7/8","3/8","2-1/2",".020","408-442-1","408-442W-1"
"3/8","7/8","3/8","2-1/2",".030","408-443-1","408-443W-1"
"3/8","7/8","3/8","2-1/2",".045","408-444-1","408-444W-1"
"3/8","7/8","3/8","2-1/2",".060","408-445-1","408-445W-1"
"3/8","1-1/8","3/8","3",".015","409-411-1","409-411W-1"
"3/8","1-1/8","3/8","3",".020","409-412-1","409-412W-1"
"3/8","1-1/8","3/8","3",".030","409-413-1","409-413W-1"
"3/8","1-1/8","3/8","3",".045","409-414-1","409-414W-1"
"3/8","1-1/8","3/8","3",".060","409-415-1","409-415W-1"
"7/16","5/8","7/16","2-1/2",".015","410-471-1","410-471W-1"
"7/16","5/8","7/16","2-1/2",".020","410-472-1","410-472W-1"
"7/16","5/8","7/16","2-1/2",".030","410-473-1","410-473W-1"
"7/16","5/8","7/16","2-1/2",".045","410-474-1","410-474W-1"
"7/16","5/8","7/16","2-1/2",".060","410-475-1","410-475W-1"
"7/16","5/8","7/16","2-1/2",".090","410-476-1","410-476W-1"
"7/16","1","7/16","2-3/4",".015","408-451-1","408-451W-1"
"7/16","1","7/16","2-3/4",".020","408-452-1","408-452W-1"
"7/16","1","7/16","2-3/4",".030","408-453-1","408-453W-1"
"7/16","1","7/16","2-3/4",".045","408-454-1","408-454W-1"
"7/16","1","7/16","2-3/4",".060","408-455-1","408-455W-1"
"7/16","1","7/16","2-3/4",".090","408-456-1","408-456W-1"
"1/2","5/8","1/2","2-1/2",".015","410-481-1","410-481W-1"
"1/2","5/8","1/2","2-1/2",".020","410-482-1","410-482W-1"
"1/2","5/8","1/2","2-1/2",".030","410-483-1","410-483W-1"
"1/2","5/8","1/2","2-1/2",".045","410-484-1","410-484W-1"
"1/2","5/8","1/2","2-1/2",".060","410-485-1","410-485W-1"
"1/2","5/8","1/2","2-1/2",".090","410-486-1","410-486W-1"
"1/2","1","1/2","3",".015","408-461-1","408-461W-1"
"1/2","1","1/2","3",".020","408-462-1","408-462W-1"
"1/2","1","1/2","3",".030","408-463-1","408-463W-1"
"1/2","1","1/2","3",".045","408-464-1","408-464W-1"
"1/2","1","1/2","3",".060","408-465-1","408-465W-1"
"1/2","1","1/2","3",".090","408-466-1","408-466W-1"
"1/2","1-1/4","1/2","3",".015","408-471-1","408-471W-1"
"1/2","1-1/4","1/2","3",".020","408-472-1","408-472W-1"
"1/2","1-1/4","1/2","3",".030","408-473-1","408-473W-1"
"1/2","1-1/4","1/2","3",".045","408-474-1","408-474W-1"
"1/2","1-1/4","1/2","3",".060","408-475-1","408-475W-1"
"1/2","1-1/4","1/2","3",".090","408-476-1","408-476W-1"
"1/2","2","1/2","4",".015","409-421-1","409-421W-1"
"1/2","2","1/2","4",".020","409-422-1","409-422W-1"
"1/2","2","1/2","4",".030","409-423-1","409-423W-1"
"1/2","2","1/2","4",".045","409-424-1","409-424W-1"
"1/2","2","1/2","4",".060","409-425-1","409-425W-1"
"1/2","2","1/2","4",".090","409-426-1","409-426W-1"
"9/16","1-1/8","9/16","3-1/2",".015","408-481-1","408-481W-1"
"9/16","1-1/8","9/16","3-1/2",".020","408-482-1","408-482W-1"
"9/16","1-1/8","9/16","3-1/2",".030","408-483-1","408-483W-1"
"9/16","1-1/8","9/16","3-1/2",".045","408-484-1","408-484W-1"
"9/16","1-1/8","9/16","3-1/2",".060","408-485-1","408-485W-1"
"9/16","1-1/8","9/16","3-1/2",".090","408-486-1","408-486W-1"
"5/8","3/4","5/8","3",".015","410-491-1","410-491W-1"
"5/8","3/4","5/8","3",".020","410-492-1","410-492W-1"
"5/8","3/4","5/8","3",".030","410-493-1","410-493W-1"
"5/8","3/4","5/8","3",".045","410-494-1","410-494W-1"
"5/8","3/4","5/8","3",".060","410-495-1","410-495W-1"
"5/8","3/4","5/8","3",".090","410-496-1","410-496W-1"
"5/8","1-1/4","5/8","3-1/2",".015","408-491-1","408-491W-1"
"5/8","1-1/4","5/8","3-1/2",".020","408-492-1","408-492W-1"
"5/8","1-1/4","5/8","3-1/2",".030","408-493-1","408-493W-1"
"5/8","1-1/4","5/8","3-1/2",".045","408-494-1","408-494W-1"
"5/8","1-1/4","5/8","3-1/2",".060","408-495-1","408-495W-1"
"5/8","1-1/4","5/8","3-1/2",".090","408-496-1","408-496W-1"
"5/8","2-1/4","5/8","5",".015","409-431-1","409-431W-1"
"5/8","2-1/4","5/8","5",".020","409-432-1","409-432W-1"
"5/8","2-1/4","5/8","5",".030","409-433-1","409-433W-1"
"5/8","2-1/4","5/8","5",".045","409-434-1","409-434W-1"
"5/8","2-1/4","5/8","5",".060","409-435-1","409-435W-1"
"5/8","2-1/4","5/8","5",".090","409-436-1","409-436W-1"
"3/4","1","3/4","3",".015","410-501-1","410-501W-1"
"3/4","1","3/4","3",".020","410-502-1","410-502W-1"
"3/4","1","3/4","3",".030","410-503-1","410-503W-1"
"3/4","1","3/4","3",".045","410-504-1","410-504W-1"
"3/4","1","3/4","3",".060","410-505-1","410-505W-1"
"3/4","1","3/4","3",".090","410-506-1","410-506W-1"
"3/4","7/8","3/4","3-1/2",".015","410-511-1","410-511W-1"
"3/4","7/8","3/4","3-1/2",".020","410-512-1","410-512W-1"
"3/4","7/8","3/4","3-1/2",".030","410-513-1","410-513W-1"
"3/4","7/8","3/4","3-1/2",".045","410-514-1","410-514W-1"
"3/4","7/8","3/4","3-1/2",".060","410-515-1","410-515W-1"
"3/4","7/8","3/4","3-1/2",".090","410-516-1","410-516W-1"
"3/4","1-1/2","3/4","4",".015","408-501-1","408-501W-1"
"3/4","1-1/2","3/4","4",".020","408-502-1","408-502W-1"
"3/4","1-1/2","3/4","4",".030","408-503-1","408-503W-1"
"3/4","1-1/2","3/4","4",".045","408-504-1","408-504W-1"
"3/4","1-1/2","3/4","4",".060","408-505-1","408-505W-1"
"3/4","1-1/2","3/4","4",".090","408-506-1","408-506W-1"
"3/4","1-5/8","3/4","4",".015","408-511-1","408-511W-1"
"3/4","1-5/8","3/4","4",".020","408-512-1","408-512W-1"
"3/4","1-5/8","3/4","4",".030","408-513-1","408-513W-1"
"3/4","1-5/8","3/4","4",".045","408-514-1","408-514W-1"
"3/4","1-5/8","3/4","4",".060","408-515-1","408-515W-1"
"3/4","1-5/8","3/4","4",".090","408-516-1","408-516W-1"
"3/4","2-1/4","3/4","5",".015","409-441-1","409-441W-1"
"3/4","2-1/4","3/4","5",".020","409-442-1","409-442W-1"
"3/4","2-1/4","3/4","5",".030","409-443-1","409-443W-1"
"3/4","2-1/4","3/4","5",".045","409-444-1","409-444W-1"
"3/4","2-1/4","3/4","5",".060","409-445-1","409-445W-1"
"3/4","2-1/4","3/4","5",".090","409-446-1","409-446W-1"
"3/4","3","3/4","6",".015","409-451-1","409-451W-1"
"3/4","3","3/4","6",".020","409-452-1","409-452W-1"
"3/4","3","3/4","6",".030","409-453-1","409-453W-1"
"3/4","3","3/4","6",".045","409-454-1","409-454W-1"
"3/4","3","3/4","6",".060","409-455-1","409-455W-1"
"3/4","3","3/4","6",".090","409-456-1","409-456W-1"
"1","1-1/2","1","4",".015","408-521-1","408-521W-1"
"1","1-1/2","1","4",".020","408-522-1","408-522W-1"
"1","1-1/2","1","4",".030","408-523-1","408-523W-1"
"1","1-1/2","1","4",".045","408-524-1","408-524W-1"
"1","1-1/2","1","4",".060","408-525-1","408-525W-1"
"1","1-1/2","1","4",".090","408-526-1","408-526W-1"
"1","2-1/4","1","5",".015","409-461-1","409-461W-1"
"1","2-1/4","1","5",".020","409-462-1","409-462W-1"
"1","2-1/4","1","5",".030","409-463-1","409-463W-1"
"1","2-1/4","1","5",".045","409-464-1","409-464W-1"
"1","2-1/4","1","5",".060","409-465-1","409-465W-1"
"1","2-1/4","1","5",".090","409-466-1","409-466W-1"
"1","3","1","6",".015","409-471-1","409-471W-1"
"1","3","1","6",".020","409-472-1","409-472W-1"
"1","3","1","6",".030","409-473-1","409-473W-1"
"1","3","1","6",".045","409-474-1","409-474W-1"
"1","3","1","6",".060","409-475-1","409-475W-1"
"1","3","1","6",".090","409-476-1","409-476W-1"
"1","4","1","7",".015","409-481-1","409-481W-1"
"1","4","1","7",".020","409-482-1","409-482W-1"
"1","4","1","7",".030","409-483-1","409-483W-1"
"1","4","1","7",".045","409-484-1","409-484W-1"
"1","4","1","7",".060","409-485-1","409-485W-1"
"1","4","1","7",".090","409-486-1","409-486W-1"