"OD","LOC","SHK","OAL","Radius","PowerA","PowerA With Flat"
"6","15","6","75","0.5","509-431-1","509-431W-1"
"8","12","8","50","0.5","510-441-1","510-441W-1"
"8","19","8","63","0.5","508-441-1","508-441W-1"
"8","25","8","75","0.5","509-441-1","509-441W-1"
"10","14","10","50","0.5","510-451-1","510-451W-1"
"10","22","10","70","0.5","508-451-1","508-451W-1"
"10","38","10","100","0.5","509-451-1","509-451W-1"
"12","16","12","63","0.75","510-462-1","510-462W-1"
"12","25","12","75","0.75","508-462-1","508-462W-1"
"12","50","12","100","0.75","509-462-1","509-462W-1"
"14","25","14","88","0.75","508-472-1","508-472W-1"
"14","56","14","125","0.75","509-472-1","509-472W-1"
"16","32","16","88","0.75","508-482-1","508-482W-1"
"16","56","16","150","0.75","509-482-1","509-482W-1"
"18","36","18","100","0.75","508-492-1","508-492W-1"
"18","56","18","150","0.75","509-492-1","509-492W-1"
"20","38","20","100","0.75","508-502-1","508-502W-1"
"20","56","20","150","0.75","509-502-1","509-502W-1"
"25","38","25","100","0.75","508-512-1","508-512W-1"
"25","70","25","150","0.75","509-512-1","509-512W-1"