"OD","LOC","SHK","OAL","PowerA","PowerA With Flat"
"8","12","8","50","510-010-1","510-010W-1"
"8","19","8","63","508-010-1","508-010W-1"
"8","25","8","75","509-010-1","509-010W-1"
"10","14","10","50","510-012-1","510-012W-1"
"10","22","10","70","508-012-1","508-012W-1"
"10","38","10","100","509-012-1","509-012W-1"
"12","16","12","63","510-014-1","510-014W-1"
"12","25","12","75","508-014-1","508-014W-1"
"12","50","12","100","509-014-1","509-014W-1"
"14","25","14","88","508-016-1","508-016W-1"
"14","56","14","125","509-016-1","509-016W-1"
"16","32","16","88","508-018-1","508-018W-1"
"16","56","16","150","509-018-1","509-018W-1"
"18","36","18","100","508-020-1","508-020W-1"
"18","56","18","150","509-020-1","509-020W-1"
"20","38","20","100","508-022-1","508-022W-1"
"20","56","20","150","509-022-1","509-022W-1"
"25","38","25","100","508-024-1","508-024W-1"
"25","70","25","150","509-024-1","509-024W-1"